Week,Session,Type,Date,DoW,Topic,DeeperDives,Notes
,11d,D,11/5/26,Th,Solve the grid-world lava problem using value iteration and random rollout,,Prerecorded activity for JV return travel; a short Canvas completion quiz records Attendance 8.
,11e,PS5,11/7/26,S,Solve the grid-world Apple versus Oranges problem using value iteration,,
,11f,OH,11/8/26,Su,Office hours 3 - 5 PM in GSH G20,,
,,,,,,,
12,12a,L,11/9/26,M,Q-learning and temporal-difference updates,,
,12b,D,11/10/26,T,Learn a grid-world policy with tabular Q-learning,,Students implement and analyze the tabular learner.
,12c,L,11/11/26,W,Value iteration versus Q-learning: model-based and model-free control,,"Policy gradients, actor-critic, and Deep Q belong to CHEME 5820."
,12d,D,11/12/26,Th,"Exploration, reproducibility, and policy diagnosis",,Attendance 9; compare exploration choices and reproducibility across seeded runs.
,12e,OH,11/15/26,Su,Office hours 3 - 5 PM in GSH G20,,
,,,,,,,
13,13a,L,11/16/26,M,"Communicating with computational systems: HTTP, JSON, REST, and schemas",bigg-api-extension,
,13b,D,11/17/26,T,Build and test a defensive National Weather Service API client,,Uses the committed National Weather Service response fixtures. Attendance 10.
,13c,L,11/18/26,W,"Model Context Protocol: hosts, clients, servers, tools, resources, and trust boundaries",,Teach stable abstractions; use an official SDK rather than hand-writing the wire protocol.
,13d,D,11/19/26,Th,Build and inspect a local MCP server around an existing course computation,,"Test discovery, a valid call, malformed input, and an unsupported action without requiring a paid model account. Attendance 11."
,13e,PS6,11/21/26,S,Develop a program to learn optimal choices using reinforcement learning,,Sequential-decision assignment remains tied to Week 12.
,13f,OH,11/22/26,Su,Office hours 3 - 5 PM in GSH G20,,
,,,,,,,
14,14a,L,11/23/26,M,"Dominant eigenpairs and power iteration: convergence, long-run behavior, and stability",,"CHEME 5800 prerequisite bridge; full eigendecomposition, QR iteration, Gram-Schmidt, and PCA remain in CHEME 5820."
,14b,Practicum,11/24/26,T,2026 practicum release and QA session,,Released before Thanksgiving break; no new lab content is expected.
,14c,L,11/25/26,W,Thanksgiving break - no class,,
,14d,D,11/26/26,Th,Thanksgiving break - no class,,
,,,,,,,
15,15a,L,11/30/26,M,"Dynamics as algorithms: explicit Euler, stability, and build-versus-buy ODE solvers",,Uses the three-gene and fermentation cases; no separate graded lab.
,15b,D,12/1/26,T,Implement and test explicit Euler on a three-gene dynamic model,,Three-gene explicit-Euler implementation. Attendance 12.
,15c,L,12/2/26,W,Integration and CHEME 5820 bridge: from time stepping to state-space and learned dynamics,,Connect prerequisites without teaching a Spring architecture.
,15d,D,12/3/26,Th,Solve and validate a mixed-sugar fermentation model with a maintained ODE solver,,Maintained-solver fermentation activity. Attendance 13.
,15e,OH,12/6/26,Su,Office hours 3 - 5 PM in GSH G20,,
,,,,,,,
16,16a,L,12/7/26,M,The end: synthesis of Fall methods and transition to CHEME 5820,,Sync Zoom lecture.
,16b,D,12/8/26,T,Semester is over - no class,,
,16c,L,12/9/26,W,Semester is over - no class,,
,16d,D,12/10/26,Th,Semester is over - no class,,
